Title,Author,Handle,Publication Date,ISBN13
 Confessions of a Prairie Bitch ,Alison Arngrim,@Arngrim,6/14/2011,9780061962158
 Dad Is Fat ,Jim Gaffigan,@JimGaffigan,9/29/2015,9780762457854
 Instant Mom ,Nia Vardalos,@NiaVardalos,4/2/2013,9780062231833
 Modern Romance ,Aziz Ansari,@azizansari,6/16/2015,9781594206276
 One More Thing ,B.J. Novak,@bjnovak,2/4/2014,9780385351836
I Can't Make This Up,Kevin Hart,@KevinHart4real,6/6/2017,9781501155567
Bossypants ,Tina Fey,@MsTinaFey,1/29/2013,9780316056861
Stories I Only Tell My Friends ,Rob Lowe,@RobLowe,4/26/2011,9781429996020
Born a Crime  ,TREVOR NOAH,@Trevornoah,11/15/2016,9780385689229
The Girl with the Lower Back Tattoo,AMY SCHUMER  ,@amyschumer,8/16/2016,9781501139888
